Model,Mode,Protocol,Dataset,Event_F1,Event_Prec,Event_Recall,PW_F1,PW_Prec,PW_Recall,AUC_PR
RF,Global,In-Sample,Primary,0.9473684210526316,1.0,0.9,0.9545454545454546,0.9130434782608695,1.0,0.9603749982992529
RF,MoE,In-Sample,Primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
XGBoost,Global,In-Sample,Primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
XGBoost,MoE,In-Sample,Primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,Global,In-Sample,Primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,MoE,In-Sample,Primary,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
RF,Global,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,MoE,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Global,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,MoE,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
LightGBM,Global,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,MoE,In-Sample,5y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,Global,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,MoE,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,Global,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,MoE,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,Global,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,MoE,In-Sample,10y,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
RF,Global,In-Sample,25y,1.0,1.0,1.0,0.9891891891891892,0.9838709677419355,0.9945652173913043,0.9988493894564768
RF,MoE,In-Sample,25y,1.0,1.0,1.0,0.9945945945945946,0.989247311827957,1.0,0.9999120246153219
XGBoost,Global,In-Sample,25y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,MoE,In-Sample,25y,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
LightGBM,Global,In-Sample,25y,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
LightGBM,MoE,In-Sample,25y,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF,Global,Out-of-Sample,Primary,0.5714285714285715,0.5,0.6666666666666666,0.10526315789473684,0.25,0.06666666666666667,0.03764436966432411
RF,MoE,Out-of-Sample,Primary,0.4444444444444444,0.3076923076923077,0.8,0.07692307692307693,0.09090909090909091,0.06666666666666667,0.022458129719687712
XGBoost,Global,Out-of-Sample,Primary,0.5,0.3793103448275862,0.7333333333333333,0.1702127659574468,0.125,0.26666666666666666,0.05856720283363545
XGBoost,MoE,Out-of-Sample,Primary,0.5263157894736841,0.43478260869565216,0.6666666666666666,0.07228915662650602,0.04411764705882353,0.2,0.023718918379504874
LightGBM,Global,Out-of-Sample,Primary,0.4444444444444444,0.38095238095238093,0.5333333333333333,0.21428571428571427,0.23076923076923078,0.2,0.059438636145727614
LightGBM,MoE,Out-of-Sample,Primary,0.5405405405405405,0.45454545454545453,0.6666666666666666,0.07407407407407407,0.08333333333333333,0.06666666666666667,0.020427577626511387
RF,MoE,Out-of-Sample,5y,0.0,0.0,0.0,0.06998939554612937,0.03626373626373627,1.0,0.03626373626373627
XGBoost,MoE,Out-of-Sample,5y,0.0,0.0,0.0,0.06998939554612937,0.03626373626373627,1.0,0.03626373626373627
LightGBM,MoE,Out-of-Sample,5y,0.0,0.0,0.0,0.06998939554612937,0.03626373626373627,1.0,0.03626373626373627
RF,Global,Out-of-Sample,10y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RF,MoE,Out-of-Sample,10y,0.25,1.0,0.14285714285714285,0.06991629739044805,0.036224489795918365,1.0,0.036224489795918365
XGBoost,Global,Out-of-Sample,10y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XGBoost,MoE,Out-of-Sample,10y,0.25,1.0,0.14285714285714285,0.06991629739044805,0.036224489795918365,1.0,0.036224489795918365
LightGBM,Global,Out-of-Sample,10y,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM,MoE,Out-of-Sample,10y,0.25,1.0,0.14285714285714285,0.06991629739044805,0.036224489795918365,1.0,0.036224489795918365
RF,Global,Out-of-Sample,25y,1.0,1.0,1.0,0.8541666666666666,0.7961165048543689,0.9213483146067416,0.7825779382447229
RF,MoE,Out-of-Sample,25y,0.4,1.0,0.25,0.47230320699708456,0.5094339622641509,0.44021739130434784,0.2503871968469108
XGBoost,Global,Out-of-Sample,25y,1.0,1.0,1.0,0.9485714285714286,0.9651162790697675,0.9325842696629213,0.9891460923900249
XGBoost,MoE,Out-of-Sample,25y,0.4,1.0,0.25,0.4609053497942387,0.9491525423728814,0.30434782608695654,0.39451368801390035
LightGBM,Global,Out-of-Sample,25y,1.0,1.0,1.0,0.5060975609756098,0.3472803347280335,0.9325842696629213,0.32320629991095595
LightGBM,MoE,Out-of-Sample,25y,0.4,1.0,0.25,0.5597269624573379,0.7522935779816514,0.44565217391304346,0.31757949276899505
