Model,Mode,Dataset,Protocol,Event_F1,Event_Prec,Event_Recall,PW_F1,PW_Prec,PW_Recall,AUC_PR,F1_CI_lo,F1_CI_hi
RF,Global,Primary,OOS-LF,0.5714285714285715,0.5,0.6666666666666666,0.10526315789473684,0.25,0.06666666666666667,0.03764436966432411,0.0,0.2727272727272727
RF,MoE,Primary,OOS-LF,0.5555555555555556,0.47619047619047616,0.6666666666666666,0.08,0.1,0.06666666666666667,0.025423187513532567,0.0,0.16666666666666666
XGBoost,Global,Primary,OOS-LF,0.5,0.3793103448275862,0.7333333333333333,0.1702127659574468,0.125,0.26666666666666666,0.05856720283363545,0.0,0.3421951219512195
XGBoost,MoE,Primary,OOS-LF,0.38596491228070173,0.2619047619047619,0.7333333333333333,0.057649667405764965,0.02981651376146789,0.8666666666666667,0.022071474334658902,0.021197932274498052,0.09909581867277636
LightGBM,Global,Primary,OOS-LF,0.5555555555555556,0.47619047619047616,0.6666666666666666,0.15,0.09230769230769231,0.4,0.05171992179024499,0.05263157894736842,0.25905228758169935
LightGBM,MoE,Primary,OOS-LF,0.4615384615384615,0.5454545454545454,0.4,0.08695652173913043,0.125,0.06666666666666667,0.026576305567234528,0.0,0.291269841269841
RF,Global,5y,OOS-LF,0.7142857142857143,0.8333333333333334,0.625,0.8787878787878788,0.8238636363636364,0.9415584415584416,0.7869339871116343,0.7650273224043715,0.9573238055205269
RF,MoE,5y,OOS-LF,0.625,0.625,0.625,0.7170868347338936,0.6305418719211823,0.8311688311688312,0.7412523968877837,0.49669358154835347,0.8499451501154734
XGBoost,Global,5y,OOS-LF,0.5,0.75,0.375,0.832807570977918,0.8098159509202454,0.8571428571428571,0.7341531999557234,0.7115268960908787,0.9303918169209431
XGBoost,MoE,5y,OOS-LF,0.5454545454545454,1.0,0.375,0.5263157894736842,0.4787234042553192,0.5844155844155844,0.5101651074656245,0.2648245614035088,0.7092322703869789
LightGBM,Global,5y,OOS-LF,0.5217391304347827,0.4,0.75,0.8658536585365854,0.8160919540229885,0.922077922077922,0.768544213098159,0.7534104485717389,0.9468400629899337
LightGBM,MoE,5y,OOS-LF,0.39999999999999997,0.42857142857142855,0.375,0.7559055118110236,0.6343612334801763,0.935064935064935,0.6136637897872416,0.5702572074618429,0.8910433649886546
RF,Global,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.4,0.2608695652173913,0.8571428571428571,0.17854923297932862,0.11264525356057452,0.6462466302846998
RF,MoE,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.8153846153846154,1.0,0.6883116883116883,0.7031428573355692,0.0,1.0
XGBoost,Global,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.5251396648044693,0.46078431372549017,0.6103896103896104,0.3267333219175894,0.22072697003329664,0.7342795824797579
XGBoost,MoE,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.8153846153846154,1.0,0.6883116883116883,0.708947819098195,0.0,1.0
LightGBM,Global,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.3693181818181818,0.23636363636363636,0.8441558441558441,0.2164894822353835,0.09757207115109398,0.6157452877587073
LightGBM,MoE,10y,OOS-LF,0.6666666666666666,1.0,0.5,0.5077720207253886,0.4224137931034483,0.6363636363636364,0.23081937391891044,0.0,0.8177900810979413
RF,Global,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.42995839112343964,0.3579676674364896,0.5381944444444444,0.2396074786705118,0.2309459559641189,0.583042142308448
RF,MoE,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.4919093851132686,0.46060606060606063,0.5277777777777778,0.3292707842044258,0.29757048758936466,0.658512122797837
XGBoost,Global,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.3894230769230769,0.253125,0.84375,0.24042974418286522,0.23696618508311085,0.521349570945653
XGBoost,MoE,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.501466275659824,0.434010152284264,0.59375,0.2649998732707426,0.3007082760989012,0.6661371237458193
LightGBM,Global,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.3644859813084112,0.3305084745762712,0.40625,0.2961886868674837,0.15950136819702043,0.526245987581235
LightGBM,MoE,25y,OOS-LF,0.5,1.0,0.3333333333333333,0.504424778761062,0.43846153846153846,0.59375,0.25402426814534923,0.30081552690327584,0.6719021142113535
